video name,transcript,extracted
Collection and Presentation of Data - II, we already know that data can be presented using the frequency distribution table for example the age of thirtysudencs at as school can be presented using an ungrouped frequency distribution table as shown here you can derive the dispoints from the stable for example we can see that there are six students of eight thirteen years now suppose you were given the data composed of the ages of hundred students can you present this data using an ungrouped frequency distribution table yes it can be presented using an ungrouped frequency distribution table but it will be at time consuming exercise is nt it thus to present such an large amount of data that easily make sense to ar reader we can then the egg into groups like five to seven eighty ten eleven to thirteen fourteen to sixteen and seventeentnineteen since are were the ranges from eight five to nineteenth observe that in the age group five to seven years there are nineteenth students in the group eight ten years there are twenty three students similarly the frequency for other groups can be found out as shown here these groups are call or class intervals in each of these classes the smaller number is called the lower class limit and the greater number is called the upper class limit for example in eleven to thirteen eleven is the lower class limit and thirteen is the upper class limit do you know what is the class size of class interval the class size of ar class interval is the deferens of the upper class limit and the lower class limit we also call class five as class weight in this case the class weight is too observe that the class wet or size is the same for all the intervals now suppose two students of eggs ten point five years and thirteen point five years are newly admitted in the school can you tell which class interval will include limit will they be ncluded in the intervals eight to ten and eleven to thirteen respectively no the cause the upper limit of the interval eightyten is ten and so it cannot include value ten point five which is more than ten similarly thirteen point five cannot be included in the interval eleven to thirteen for the same reason so what to do now to overcome this problem we pre down the gaps between the intervals in such away at the upper and lower limits of consecutive intervals are the same we find the difference between the upper limit of class and the lower limit of its succeeding class then find the half of this difference which comes out as there point five for this problem we then add this value to eighth of the upper limits and subtract this value from each of the lower limits in this way we have revive to the class intervals in such away at the upper class limit of an interval is same as the lower class limit of its succeeding class interval this kind of distribution of data is called can the as frequency distribution now can you include the values ten point five and thirteen point five still confused then point five appears into different class intervals thirteen point five two appears into different class intervals in such a case there is at convention by which we include the value of lower class limit of ar class interval in the same interval but the value of upper class interval is not included limit instead it is included in an next class interval so then point five will be included in the interval ten point five to thirteen point five whereas thirteen point five will be included in the interval thirteen point five to sixteen point five therefore in this way you have now learn how to present data using of grouped frequency table here is at quegrecap of worwe have learned so far,"['upper class interval', 'upper class limit', 'lower class limit', 'class interval', 'class intervals', 'class', 'frequency distribution table', 'same interval', 'frequency table', 'frequency distribution', 'lower limit', 'upper limit', 'greater number', 'smaller number', 'other groups', 'nineteenth students', 'age group', 'large amount', 'upper limits', 'lower limits', 'same reason', 'frequency', 'interval', 'upper', 'limit', 'same', 'group', 'nineteenth', 'groups', 'students', 'age', 'distribution', 'intervals']"
Frequency Polygon, there is the same ar picture is for ar thousand words this holds true even in mathematics where ar glass is the better way to represent at data usually glass are used for the comparisons among individual items we are already aware about the graphical representation of continuous grouped frequency distribution by the means of or histogram this there any other graphical method for presenting the continuous group frequency distribution yes the meter other than his to gram is of frequency polygon ar frequency polygon has and added at one ice over histogram when you have two or more sets of data to compare wequensypolegon is the better way the cause you can have frequenceqpoli cone for all det aces on one single rod however this is not the case with histograms how can it be drawn there are two methods of dringoe frequency polygon the first one is with the help of or histogram and the second on is without the help of or his or the us discuss the first method consider the following histogram now the mid points of the opposite of the adjacent rectangles of the histogram assume that ar rectangle of zero height exists preceding the first fretangle and mark its mid point similarly assume are tangled succeeding the glass rectangle and mark its mid point join or mid points in order by line segments the close figure so obtained is the frequency polygon now lets discuss the second meter consider the following frequency distribution table showing the lens of three hundred and thirty river else how can we draw of frequency polygon for this data without using or histogram let us understand always remember that the classes should be continuous to draw of frequency polygon if the classes are this continuous you has to first can for them to continuous classes then proceed further now we calculate the class mass that is midpoint of each class the class mark is has of the sum of the lower limit and the upper limit of the class for the first class twenty to pot the upper limit is forty and the lower limit is twenty so the class mark is frty in the class forty to sixty the upper limit is sixty and the lower limit is forty so the class mark is fifty similarly we calculate the class mass of the remaining classes now the king these class masks as excornetes and the cos pointing frequencies as vi cord nets we get the coordinates of the points thirty sixty fifty one hundred eight seventy ninety ninety sixty and one hundred ten forty now jar exaces and way axes on a claspaper with king man now consider taste one centimetre equals twenty centimetres on the ex as and one centimeter equals twenty eel on the viaxes lets we quesent the lens of eel one exaxes and the frequencies that is number of eels on viaxes now we plot the points thirty sixty fifty one hundred eight seventy ninety ninety sixty and one hundred ten forty on the graph paper join the consecutive points by line segments now to complete the polygon we find the mid point of the class preceding the first class mark the point with co frequency join the first end point to this point similarly we mark the mid point of the class succeeding the class class with seed of frequency now join the points to complete the frequency polygon this is the regard frequency polygon now to cat this frequency polygon and anus on questions vas toned can you write the frequency of the class ninety to one twenty yes you can identipie the point between the class ninety to one twenty here it is its excoriat that is the mid point of the class is one hundred five and the vi codon that is the frequency of the class is folifive so the frequency of the class ninety to one twenty is forty five now state the class whose frequencies fifteen since the frequencies are shown on the viaxes the excornate of the point whose py cordinat is fifteen is one hundred sixty five the mid point of the class one fifty to one eight is one sixty five hence the class whose frequencies fifteen is one fifty to one eighty the next question is which class has the max man frequency the frequency is shown on the viaxes on the polygon the max man value of the viquodneight is forty five its corresponding exportnate is one hundred five which is the mid point of the class ninety to one twenty therefore the maximum frequency is in the class ninety two and twenty here is the next question write the classes whose frequencies are zero the frequencies of the classes zero to thirty and one eighty to two hundred ten are zero in this way you can interpret the frequency polygons in or not shell afrequency polygon is the closed curve representing continuous group frequency distribution there are two methods of drawing of frequency polygon with the help of or histogram and without the help of or histogram here are the steps to draw of frequency polygon with the help of or histogram these are the steps to draw of frequency polygon without the help of histogram,"['frequency polygon ar frequency polygon', 'continuous group frequency distribution', 'man frequency', 'frequency polygon', 'frequency distribution', 'frequency', 'class class', 'first class', 'ar glass', 'other graphical', 'ar', 'mid points', 'meter other', 'mid point', 'class', 'jar exaces', 'cord nets', 'pointing frequencies', 'close figure', 'line segments', 'histogram assume', 'adjacent rectangles', 'single rod', 'det aces', 'more sets', 'individual items', 'man', 'first', 'graphical', 'vas', 'limit', 'way', 'polygon', 'points', 'meter', 'continuous', 'glass', 'point', 'frequencies', 'assume', 'histogram']"
Mean, mean in our day to day life we talk about averages all the time like the average speed of car the average score of test the average height of basket ball players the average wage or income do you know what an average is an average is the central value of a set of numbers for a data set the term average an arithmetic mean are used synonymously to refer to a central value of set of numbers the arithmetic mean or simply mean of observations ex one ex to and so on up to ex m is the sum of the observations divided by the number of observations the arithmetic mean is normally denoted by ex bar let us take an example the arithmetic mean of five values six three four five and seven is six plus three plus four plus five plus seven divided by five on simplification arithmetic mean is equal to five,"['basket ball players', 'average', 'central value', 'day life', 'ex', 'arithmetic', 'day']"
Angle Sum Property, angle sum property done by an looking confused sister an not able to understand that in the sum of all the angles of ar triangle is equal to one eightydegrees to be confused it release let be explain it to you ocess the please help me to understand it take sheet of paper and draw triangle on it ogai have drawn the triangle sister to take the set in at the triangle out of the paper ii have got on the triangles on the paper now what next good tan the angles of the triangle as ext why and set yes at the that no at the canes of the triangle og it is tan ester now what should ihav to do next now draw trait ran one at the cheeofpapr i have drawn testa line tan do you know the angles and and all the pieces of the triangle at taken together it is trait angle which is equal to one eightydegrees good you can see that trait angles form by all the three angles of the triangle angle ext angle why and angle at there for the sum of all the angles of the triangle tale to an ateegrees yes astr now ihave on the to that the sum of all the angles of triangle is equal to one eightydegrees tank you sister,"['triangle angle', 'testa line tan', 'good tan', 'triangle sister', 'angle sum', 'eightydegrees good', 'angle', 'triangle', 'paper ii', 'tan', 'eightydegrees', 'sum', 'sister', 'paper']"
Inequality Property of Triangle, the sum of the lengths of any two sides of triangle is greater than the third side let us construct a triangle with sides having lengths equal do be and now we arrange the two sides of the triangle having lengths equal to and b in the form of a straight line as shown what do we observe we observe that the sum of and b is greater than c again let us arrange the two sides of the triangle having lengths equal to and c in the form of a straight line as shown what do we observe we observe that the sum of b and c is greater than again let us arrange the two sides of the triangle having lengths equal to and c in the form of straight line as shown what do we observe we observe that the sum of and c is greater than be from these three cases we can conclude that the sum of the lengths of any two sides of the triangle is greater than the third side,"['lengths equal', 'third side', 'lengths']"
Triangle and its Classification, come children let us the gas triangle angles classification can you see triangles on this image it is no or rides that triangles are all around us real world examples of triangles can be found in many different areas of every day lies at triangle is the simple close care made up of three line segments it has three sides ab bc and ca three angles angle abc angle b ac and angle ac b and three word to says b and c the three angles and the three sides of triangle are gas the six elements of triangle side opposite to given angle or words side opposite to angle is bc side opposite to angle b is ac sight opposite to angle c is ab there are different tides of triangles triangles are classified on the basis of sides and angles on the basis of sides triangles can be classified into three tides namely equilateral triangle as to cell triangle and scale triangle and equilatriangle is at triangle in which all sides have equal length an acute is triangle is triangle in which two sides have equal length ascaling triangle is at triangle in which all the sides have different length on the basis of angles triangles can be classified into three tides namely right angled triangle acute angle triangle obtuse angled triangle a right angled triangle has he right angle in its interior an acute angle triangle has all acute angles that is less ln nt degree in its interior an obtuse angled triangle has an obtuse angle that is great an anti degree at less than one at degree in its interior hence triangle can be classified into six tides as shown,"['triangle acute angle triangle', 'acute angle triangle', 'triangle side opposite', 'triangle angles', 'hence triangle', 'angles angle', 'angle b', 'triangle', 'different length', 'side opposite', 'angle', 'acute angles', 'different', 'angles triangles', 'anti degree', 'line segments', 'triangles triangles', 'close', 'world', 'angles', 'length', 'acute', 'opposite', 'degree', 'triangles', 'b']"
Parts of a Triangle, let us recall the definition and parts of the triangle a triangle is simple closed curve made up of three line segments a triangle bc has three sides ab bc dc it has three interior angles angle bc angle bc and angle ac b also it has three vertices b dc interior and exterior of the triangle if we draw a triangle in ar plane it divides the plane into three parts first is boundary of the triangle second is interior of the triangle third is exterior of triangle the points l m n and lie on the boundary of the triangle we can see clearly at the points b are and s lie in the interior of the triangle and the points b c and lie in the exterior of the triangle obviously the angles bc bc and dc b are interior angles of the triangle the angles cd b cb f are the exterior angles of the triangle,"['angles bc bc', 'triangle bc', 'b', 'ar plane', 'line segments', 'angles', 'bc', 'triangle', 'closed', 'plane']"
Exterior Angle Property, father am not able to solve some problems is on exterior angle property sin in he triangle the exteial angle is equal to the sum of two opposite interior angles well father am not able to understand it occai will explain to you bring sheet of paper sister and of scale from your room i have brought them draw a triangle on the sheet of paper ihave brown it use sister and cut the triangle out of the paper i have done it good my corners of the triangle as ex why and said representing its angles i have done it now cataany two corners of the triangle ihave done it now arranged testeces on the line here it is an exterior angle of triangle yes father now we arrange the pieces ex and why what did you several these two pieces core exterior angle completely an testeces are in pear angles of the triangle now i understand the exterior angle of triangle is equal to the sum of two opposite in the angles tank you father,"['pieces core exterior angle', 'exterior angle property', 'opposite interior angles', 'paper ihave', 'exterior angle', 'ihave', 'angles', 'angle', 'paper', 'pieces', 'opposite']"
SSS Congruence Rule, let us discuss excess congruent rule thus consider these two triangles and f we are only one pair of corresponding sides are equal here we observe that one triangles does not cover other triangle completely hence these triangles are not congruent let us take another clase where two pairs of corresponding sides are equal in this case also we observe that triangles do not cover each other completely and exactly so they are also not congruent now let us take the case where both the triangles have equal corresponding sides in this situation triangles cover each other completely and exactly hence we conclude that in this case triangles are congruent,"['corresponding', 'triangles', 'congruent', 'other']"
SAS Congruence Rule, say as congruent role in say congruent rule two triangles are said to be congruent if two sides and the included angles of one triangle are equal to the two sides and the included angle of the other triangle consider triangle in which side is equal to six centimetres angle is equal to sixty degrees and side is equal to four centimetres take another triangle pure by draging vertex cu make side equal to six centimetres then drag vertex to make angle equal to sixty degrees and in last without disturbing length of side and angle drag vertex to make side are equal to four centimetres here we triangle are so formed is exactly same as triangle at therefore triangle is congruent to triangle pure thus in two triangles whenever two sides and the included angles of one triangle are equal to the two sides and the included angles of the other triangle then they are said to be congruent me travel we call it as the side angle side congruent room or in short congruent rule consider another situation the triangle wide aid in which side car is equal to five centimetres side by said is equal to four centimetres and angle ad is equal to follow five degrees again in triangle pure it is tragvrtexc to make side equal to five centimetres or drag vertex to make side are equal to four centimetres and in last without disturbing the length of side and dry to make angle equal to forty five degrees are these two triangles congruent no we notice that these two triangles are not congruent so it is very important that the equal angles are included between the pigs of equal sides thus say congruent rule bolts but not as or rule,"['side angle side congruent', 'congruent rule', 'angle drag vertex', 'angle equal', 'side equal', 'congruent', 'triangle wide', 'centimetres angle', 'centimetres side', 'angle', 'side', 'drag vertex', 'triangle', 'equal', 'vertex', 'rule', 'centimetres']"
